feature,mean_abs_shap
num__PageValues,2.1381676
cat__Month_Nov,0.48617476
cat__Month_May,0.47694105
num__ExitRates,0.3651349
num__TrafficType,0.27947155
num__OperatingSystems,0.2537396
num__Region,0.2419704
cat__Month_Mar,0.2265315
num__BounceRates,0.1739641
num__Browser,0.16768768
num__ProductRelated_Duration,0.15092792
num__ProductRelated,0.1459039
num__Administrative,0.13508032
num__Weekend,0.13302466
num__Administrative_Duration,0.12199159
cat__VisitorType_New_Visitor,0.08933001
num__Informational,0.056613732
num__Informational_Duration,0.0529446
cat__Month_Sep,0.038116366
cat__Month_Dec,0.035705484
cat__VisitorType_Returning_Visitor,0.03409857
cat__Month_Aug,0.028081376
cat__Month_Jul,0.022675555
num__SpecialDay,0.021166917
cat__Month_Feb,0.0152283935
cat__Month_Oct,0.0113473
cat__Month_June,0.006650212
cat__VisitorType_Other,0.0004584292
